Billing Tag,Client,Instance,Backupset,Subclient,Storage_Policy,Copy,FEB Size,FEA Size,Primary AppSize,Protected App Size,Media Size
AWS - Glacier,srvvmpamamvdb01,SRVVMPAMAMVDB01\VANTAGE,defaultBackupSet,SRVVMPAMAMVDB01\VANTAGE\SIMPLE,#STP_DATACENTER_DB_02,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,srvvmpamamvdb02,SRVVMPAMAMVDB02\VANTAGE,defaultBackupSet,SRVVMPAMAMVDB02\VANTAGE\FULL,#STP_DATACENTER_DB_02,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,srvvmpamamvdb02,SRVVMPAMAMVDB02\VANTAGE,defaultBackupSet,SRVVMPAMAMVDB02\VANTAGE\FULL,#STP_DATACENTER_DB_02,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,srvvmpamamvdb02,SRVVMPAMAMVDB02\VANTAGE,defaultBackupSet,SRVVMPAMAMVDB02\VANTAGE\SIMPLE,#STP_DATACENTER_DB_02,1.Primary,0.0,0.0,0.0,0.0,0.0
AWS - Glacier,srvvmpamamvdb02,SRVVMPAMAMVDB02\VANTAGE,defaultBackupSet,SRVVMPAMAMVDB02\VANTAGE\SIMPLE,#STP_DATACENTER_DB_02,2.AWS,0.0,0.0,0.0,0.0,0.0
DCCM - OnPremisses,SRVVMPAMAMVDB01_VANTAGE_AGClient,MAMVANTAGE/SRVVMPAMAMVDBLS,defaultBackupSet,MAMVANTAGE/SRVVMPAMAMVDBLS,#STP_DATACENTER_DB_01,1.Primary,0.008,0.0,0.0,0.0,0.0
AWS - Glacier,SRVVMPAMAMVDB01_VANTAGE_AGClient,MAMVANTAGE/SRVVMPAMAMVDBLS,defaultBackupSet,MAMVANTAGE/SRVVMPAMAMVDBLS,#STP_DATACENTER_DB_01,2.AWS,0.0,0.0,0.0,0.0,0.0
GCP,SRVVMPAMAMVDB01_VANTAGE_AGClient,MAMVANTAGE/SRVVMPAMAMVDBLS,defaultBackupSet,MAMVANTAGE/SRVVMPAMAMVDBLS,#_STP_GCP_SQL_DB,Primary,0.0,0.0,0.015,0.015,0.001
Azure - PROD,CLPASQLSR006_AGClient,CLPASQLAG006/CLPASQLAG006,defaultBackupSet,CLPASQLAG006/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Primary,0.0,0.0,0.0,0.0,0.0
Azure - PROD,CLPASQLSR006_AGClient,CLPASQLAG006/CLPASQLAG006,defaultBackupSet,CLPASQLAG006/FULL,STP_AZU_PRD_CLPABKPSR005_GERAL,Retention-1yr,0.0,0.0,0.0,0.0,0.0
